BORO,DBA,COUNTA of DBA
,BURGER KING,1
,BUGGING OUT 4 BURGERS,1
,BRUNCH SPOT NYC,1
,BROOKSIDE MARKET,1
,BOWLERO,1
,BONUS ROOM,1
,BON APPETIT RESTAURANT,1
,BLUE BAY DINER,1
,BEST YUMMY,1
,BEST GARDEN CHINESE RESTAURANT,1
,BEST DELI,1
,BEAN HOUSE,1
,BBQ VILLAGE,1
,BAKHTAR KEBAB,1
,ASIAN KITCHEN,1
,APOLLO CAFE & BAKERY,1
,ANGELOS DELI RESTAURANT,1
,ALFIE'S PIZZA AND PASTA,1
,ALBA'S PIZZA,1
,AJI SUSHI HOUSE,1
,AFRICANA RESTAURANT,1
,ADELA'S CAFE AND RESTAURANT,1
,ACE PIZZA,1
,ABRACADABRA MAGIC DINER,1
,888 KITCHEN,1
,3 BROS 99 CENTS PIZZA,1
,15 FLAVORS (FROZEN DLITE),1
Queens Total,,254
Bronx,KENNEDY FRIED CHICKEN,4
,DUNKIN,3
,ST BESS RESTAURANT,2
,POPEYES,2
,MOCHA CAFE,2
,KINGSTON TROPICAL BAKERY,2
,JUANITO RESTAURANT,2
,GOODBITES CARIBBEAN RESTAURANT & LOUNGE,2
,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,2
,COURT DELI RESTAURANT,2
,CODE RED,2
,#1 SABOR LATINO RESTAURANT,2
,YANKEE TAVERN,1
,XING HUI LINDA KITCHEN,1
,WAI KANG CHINESE RESTAURANT,1
,VENICE,1
,UP TOP GRILL,1
,TROPICAL ROTTISSERIE,1
,THE PUNCH BOWL,1
,THE HIDEOUT TAVERN,1
,THE DUMPLING COVE,1
,"THE CORNER CAFE & BAKERY, PIZZA PLUS",1
,THE BARBECUE PIT,1
,TERIYAKI ONE JAPANESE GRILL,1
,TACO BELL CANTINA,1
,TACO BELL,1
,T-BROTHERS PIZZERIA,1
,SUPER KENNEDY'S CHICKEN & SANDWICH,1
,SUMA PIZZA,1
,SUBWAY,1
,STARBUCKS COFFEE #49450,1
,SMASHBURGER,1
,SIX HAPPINESS CHINESE FOOD,1
,SHAMROCK INN,1
,SCOTCH BONNET,1
,ROCA TONE SEAFOOD RESTAURANT,1
,RIVERDALE INDIAN KITCHEN,1
,RAMBLING HOUSE,1
,PUGSLEY PIZZA,1
,PROSPECT COFFEE SHOP,1
,PERISTA RESTAURANT,1
,PARRILLA LATINA SPORTS BAR,1
,PARADISE CAFE NY RESTAURANT,1
,OCKY FRIED CHICKEN & PIZZA,1
,NO 1 LUCK SUNG RESTAURANT,1
,NEW YORK PIZZA,1
,NEW SHENG CHINESE RESTAURANT,1
,NEW MAMA'S FRIED CHICKEN,1
,NEW GREEN DRAGON,1
,NATIONAL BAKERY,1
,MUNCH N' GRUB CHICKEN,1
,MCDONALD'S,1
,LYDIG COFFEE HOUSE,1
,LUNA PIZZA,1
,LUNA CAFE,1
,LOS NISPEROS PERUVIAN RESTAURANT,1
,LITTLE CAESARS,1
,LIN'S ASIAN CUISINE,1
,LILY'S CAFE RESTAURANT,1
,LIBERTY DINER,1
,LIANG'S GARDEN,1
,LAS MARAVILLAS DE MEXICO RESTAURANT,1
,LA SALLE BAKERY,1
,LA ROLA RESTAURANT,1
,LA CABANA SALVADORENA,1
,KORI'S EAT/MALLIA'S,1
,KHALIL BIRYANI  HOUSE,1
,KEENANS,1
,KATONAH ITALIAN PASTRY SHOP,1
,JULIA'S COFFEE SHOP,1
,JEN'S FRENCH TOAST,1
,JADE GARDEN,1
,J J SPORT RESTAURANT,1
,ITALIAN LOVERS PIZZA,1
,ININE BISTRO,1
,IKKO,1
,IHOP,1
,I LOVE NY PIZZA,1
,HOME THE BRONX STEAKHOUSE,1
,HING WONG RESTAURANT,1
,HACIENDA AGAVE,1
,FIORENTINA STEAKHOUSE,1
,ESTRELLA BRONX RESTAURANT,1
,ENZO'S RESTAURANT,1
,EMPANADAS RD,1
,EMPANADA RD,1
,EMILIO'S,1
,EL VIEJO GRAN CAFE,1
,EL VALLE RESTAURANT,1
,EL NUEVO PATIO,1
,EL DESPERTAR MARLENE,1
,EAZY LIFE RESTAURANT,1
,E & L BAKERY & COFFEE SHOP,1
,DYNASTY TASTE LAM,1
,"DUNKIN',' BASKIN ROBBINS",1
,DOMINICANA POLLO SABROSO RESTAURANT,1
,DAKAR AFRICAN RESTAURANT  & GRILL,1
,CRAB STOP CAJUN,1
,CHUCK E. CHEESE'S,1
,CHINESE GOURMET,1
,CHINA PAVILION RESTAURANT,1
,CENTRAL CARIBBEAN BAKERY,1
,CAPRI II PIZZA,1
,CAFE ROYALE,1
,BURGER KING,1
,BUFFALO WILD WINGS,1
,BB PIZZA & DINE,1
,BASCOM CATERING & EVENTS,1
,BAILEY SEAFOOD MARKET & RESTAURANT,1
,ANISE,1
,ANGIOLINA'S RESTAURANT,1
,ANDY'S TERIYAKI & TACO,1
,ADAYA AFRICAN AMERICAN RESTAURANT,1
,2123 FRESH TORTILLAS,1
Bronx Total,,129
Staten Island,SUBWAY,3
,STATUE OF LIBERTY DELI,2
,REYES DELI MEXICANA,2
,WILD CRAB HOUSE,1
,TRIUNFO RESTAURANT,1
,TERMINAL ONE,1
,ROSEBANK PIZZA,1
,RED APPLE RESTAURANT,1
,PHIL-AM KUSINA,1
,PAPA JOHNS PIZZA,1
,NORI SUSHI RESTAURANT,1
,NOODLEFAN,1
,NEW ASHA SRI LANKAN RESTAURANT,1
,MR HIBACHI EXPRESS,1
,MIKE'S OAKWOOD DINER,1
,JOE JOE PIZZERIA,1
,JODY'S CLUB,1
,Jersey Mikes Subs,1
,JADE ISLAND RESTAURANT,1
,JAC MAO CHINESE CUISINE,1
,HYLAN DINER,1
,HITTO RAMEN,1
,GOLDEN STAR,1
,GIUSEPPE PIZZERIA,1
,FRANCESCO'S,1
,FOREST THAI CUISINE,1
,FERRIS WHEEL YOGURT SMOOTHIES,1
,EURO PIZZA,1
,EL POLLO II RESTAURANT,1
,EL DORADO RESTAURANTE BAR AND GRILL,1
,DUNKIN,1
,DEJA VU,1
,D & B RESTAURANT II,1
,CHINA NEW STAR RESTAURANT,1
,CHINA KING,1
,CAFE JULIET,1
,BROOKLYNS FINEST PIZZA & RESTAURANT,1
,BRADLEY'S DELI & RESTAURANT,1
,BAKE CULTURE,1
,BAGEL DEPOT,1
,AUNTIE ANNE'S PRETZELS,1
Staten Island Total,,45
Grand Total,,1179
